"","service_point_sn","meter_sn","MinCons_60","date","OpenClose"
"498","3005448551","WS500322A",0,2017-02-26,"Close"
"499","3005448551","WS500322A",1,2017-03-07,"Open"
"500","3005448551","WS500322A",0,2017-03-16,"Close"
"501","3005448643","WS500365A",7,2017-01-22,"Open"
"502","3005448643","WS500365A",0,2017-01-27,"Close"
"503","3005448647","WS500371A",4,2017-12-31,"Open"
"504","3005448647","WS500371A",0,2018-01-08,"Close"
"505","3005448763","WS500355A",1,2017-03-17,"Open"
"506","3005448763","WS500355A",0,2017-03-20,"Close"
"507","3005448763","WS500355A",2,2017-07-21,"Open"
"508","3005448763","WS500355A",0,2017-07-24,"Close"
"509","3005448763","WS500355A",2,2017-11-30,"Open"
"510","3005448763","WS500355A",0,2017-12-03,"Close"
"511","3005448763","WS500355A",1,2018-02-09,"Open"
"512","3005448763","WS500355A",0,2018-02-12,"Close"
"513","3005448763","WS500355A",1,2018-03-08,"Open"
"514","3005448763","WS500355A",0,2018-03-11,"Close"
"515","3100159487","WS500413A",1,2016-10-12,"Open"
"516","3100159487","WS500413A",0,2016-11-01,"Close"
"517","3100159491","WS500421A",2,2016-08-26,"Open"
"518","3100159491","WS500421A",0,2016-10-06,"Close"
"519","3100159491","WS500421A",1,2016-10-09,"Open"
"520","3100159491","WS500421A",0,2016-11-15,"Close"
"521","3100159491","WS500421A",1,2016-12-04,"Open"
"522","3100159491","WS500421A",0,2017-01-21,"Close"
"523","3100159491","WS500421A",1,2017-01-25,"Open"
"524","3100159491","WS500421A",0,2017-04-14,"Close"
"525","3100159491","WS500421A",1,2017-04-23,"Open"
"526","3100159491","WS500421A",0,2017-08-11,"Close"
"527","3100159491","WS500421A",2,2017-11-26,"Open"
"528","3100159495","WS500429A",5,2016-04-28,"Open"
"529","3100159495","WS500429A",0,2016-07-11,"Close"
"530","3100159495","WS500429A",3,2016-07-16,"Open"
"531","3100159495","WS500429A",0,2016-08-26,"Close"
"532","3100159495","WS500429A",5,2017-09-13,"Open"
"533","3100159495","WS500429A",0,2017-09-28,"Close"
"534","3100159543","WS500525A",1,2017-08-28,"Open"
"535","3100159543","WS500525A",0,2017-09-01,"Close"
"536","3100159643","WS500463A",11,2016-12-07,"Open"
"537","3100159643","WS500463A",0,2016-12-11,"Close"
"538","3100159643","WS500463A",4,2017-01-03,"Open"
"539","3100159643","WS500463A",0,2017-01-12,"Close"
"540","3100159643","WS500463A",1,2017-11-18,"Open"
"541","3100159643","WS500463A",0,2017-12-15,"Close"
"542","3100159643","WS500463A",1,2018-03-17,"Open"
"543","3100159679","WS500400A",2,2016-05-20,"Open"
"544","3100159679","WS500400A",0,2016-07-08,"Close"
"545","3100159759","WS500425A",6,2016-04-14,"Open"
"546","3100159759","WS500425A",0,2016-04-24,"Close"
"547","3100159807","WS500521A",1,2017-11-02,"Open"
"548","3100159807","WS500521A",0,2017-12-07,"Close"
"549","3100159823","WS500418A",1,2017-05-11,"Open"
"550","3100159823","WS500418A",0,2017-05-28,"Close"
"551","3100159851","WS500474A",2,2016-11-30,"Open"
"552","3100159851","WS500474A",0,2016-12-03,"Close"
"553","3100159851","WS500474A",1,2017-07-03,"Open"
"554","3100159851","WS500474A",0,2017-07-13,"Close"
"555","3100159915","WS500467A",1,2016-03-27,"Open"
"556","3100159915","WS500467A",0,2016-04-26,"Close"
"557","3100159915","WS500467A",2,2016-07-18,"Open"
"558","3100159915","WS500467A",0,2016-11-02,"Close"
"559","3100159915","WS500467A",1,2016-11-24,"Open"
"560","3100159915","WS500467A",0,2016-11-30,"Close"
"561","3100159915","WS500467A",1,2016-12-14,"Open"
"562","3100159915","WS500467A",0,2016-12-25,"Close"
"563","3100159915","WS500467A",1,2017-01-18,"Open"
"564","3100159915","WS500467A",0,2017-01-26,"Close"
"565","3100159915","WS500467A",1,2017-02-26,"Open"
"566","3100159915","WS500467A",0,2017-03-17,"Close"
"567","3100159955","WS500412A",1,2016-04-20,"Open"
"568","3100159955","WS500412A",0,2016-05-28,"Close"
"569","3100159955","WS500412A",1,2017-06-20,"Open"
"570","3100159955","WS500412A",0,2017-06-30,"Close"
"571","3100159955","WS500412A",5,2017-11-16,"Open"
"572","3100159955","WS500412A",0,2017-12-25,"Close"
"573","3100159955","WS500412A",6,2018-03-15,"Open"
"574","3100159959","WS500420A",9,2017-03-15,"Open"
"575","3100159959","WS500420A",0,2017-04-18,"Close"
"576","3100159959","WS500420A",1,2017-04-21,"Open"
"577","3100159959","WS500420A",0,2017-04-29,"Close"
"578","3100159967","WS500436A",1,2016-10-06,"Open"
"579","3100159967","WS500436A",0,2016-10-14,"Close"
"580","3100159967","WS500436A",1,2016-10-24,"Open"
"581","3100159967","WS500436A",0,2016-11-14,"Close"
"582","3100249914","WS500230A",4,2016-04-28,"Open"
"583","3100249914","WS500230A",0,2017-07-17,"Close"
"584","3100249926","WS500254A",3,2017-07-13,"Open"
"585","3100249926","WS500254A",0,2017-11-16,"Close"
"586","3100249926","WS500254A",4,2018-01-11,"Open"
"587","3100249930","WS500262A",1,2018-02-17,"Open"
"588","3100249934","WS500270A",3,2017-10-04,"Open"
"589","3100249934","WS500270A",0,2017-12-20,"Close"
"590","3100249958","WS500199A",113,2016-12-04,"Open"
"591","3100249958","WS500199A",0,2016-12-08,"Close"
"592","3100249958","WS500199A",1,2017-08-01,"Open"
"593","3100249958","WS500199A",0,2017-08-15,"Close"
"594","3100249978","WS500239A",3,2016-05-06,"Open"
"595","3100249978","WS500239A",0,2016-10-06,"Close"
"596","3100249978","WS500239A",2,2018-01-13,"Open"
"597","3100249978","WS500239A",0,2018-01-24,"Close"
"598","3100249998","WS500279A",2,2017-07-21,"Open"
"599","3100250046","WS500256A",3,2017-12-19,"Open"
"600","3100250046","WS500256A",0,2018-01-05,"Close"
"601","3100250054","WS500272A",2,2016-09-21,"Open"
"602","3100250054","WS500272A",0,2016-10-13,"Close"
"603","3100250054","WS500272A",1,2016-10-30,"Open"
"604","3100250054","WS500272A",0,2016-11-14,"Close"
"605","3100250054","WS500272A",1,2016-12-02,"Open"
"606","3100250054","WS500272A",0,2016-12-15,"Close"
"607","3100250054","WS500272A",1,2017-02-14,"Open"
"608","3100250054","WS500272A",0,2017-02-27,"Close"
"609","3100250054","WS500272A",1,2017-03-02,"Open"
"610","3100250054","WS500272A",0,2017-03-05,"Close"
"611","3100250054","WS500272A",4,2017-05-29,"Open"
"612","3100250054","WS500272A",0,2017-06-02,"Close"
"613","3100250054","WS500272A",2,2017-06-10,"Open"
"614","3100250054","WS500272A",0,2017-06-13,"Close"
"615","3100250054","WS500272A",2,2017-06-28,"Open"
"616","3100250054","WS500272A",0,2017-07-07,"Close"
"617","3100250054","WS500272A",2,2018-01-07,"Open"
"618","3100250054","WS500272A",0,2018-01-11,"Close"
"619","3100250082","WS500209A",1,2018-02-24,"Open"
"620","3100250106","WS500257A",4,2016-04-26,"Open"
"621","3100250106","WS500257A",0,2016-05-19,"Close"
"622","3100250106","WS500257A",8,2016-09-20,"Open"
"623","3100250106","WS500257A",0,2016-10-10,"Close"
"624","3100250106","WS500257A",12,2016-10-23,"Open"
"625","3100250106","WS500257A",0,2016-11-21,"Close"
"626","3100250106","WS500257A",1,2016-11-28,"Open"
"627","3100250106","WS500257A",0,2016-12-11,"Close"
"628","3100250106","WS500257A",4,2016-12-19,"Open"
"629","3100250106","WS500257A",0,2017-01-24,"Close"
"630","3100250106","WS500257A",6,2017-02-15,"Open"
"631","3100250106","WS500257A",0,2017-02-19,"Close"
"632","3100250106","WS500257A",12,2017-04-12,"Open"
"633","3100250106","WS500257A",0,2017-05-27,"Close"
"634","3100250106","WS500257A",4,2017-07-02,"Open"
"635","3100250106","WS500257A",0,2017-08-19,"Close"
"636","3100250106","WS500257A",3,2017-09-15,"Open"
"637","3100250106","WS500257A",0,2017-10-17,"Close"
"638","3100250178","WS500282A",1,2016-10-11,"Open"
"639","3100250178","WS500282A",0,2016-10-14,"Close"
"640","3100250178","WS500282A",3,2016-11-24,"Open"
"641","3100250178","WS500282A",0,2016-11-30,"Close"
"642","3100250178","WS500282A",5,2016-12-12,"Open"
"643","3100250178","WS500282A",0,2016-12-18,"Close"
"644","3100250178","WS500282A",5,2016-12-21,"Open"
"645","3100250178","WS500282A",0,2016-12-26,"Close"
"646","3100250178","WS500282A",1,2017-01-14,"Open"
"647","3100250178","WS500282A",0,2017-02-01,"Close"
"648","3100250178","WS500282A",2,2017-02-21,"Open"
"649","3100250178","WS500282A",0,2017-02-24,"Close"
"650","3100250178","WS500282A",1,2017-03-01,"Open"
"651","3100250178","WS500282A",0,2017-03-13,"Close"
"652","3100250178","WS500282A",5,2017-03-17,"Open"
"653","3100250190","WS500187A",1,2017-02-10,"Open"
"654","3100250190","WS500187A",0,2017-02-26,"Close"
"655","3100250190","WS500187A",1,2017-04-29,"Open"
"656","3100250190","WS500187A",0,2017-05-15,"Close"
"657","3100250306","WS500300A",3,2016-04-09,"Open"
"658","3100250306","WS500300A",0,2016-12-10,"Close"
"659","3100250306","WS500300A",1,2017-02-05,"Open"
"660","3100250306","WS500300A",0,2017-06-20,"Close"
"661","3100250306","WS500300A",3,2017-07-10,"Open"
"662","3100250306","WS500300A",0,2017-12-09,"Close"
"663","3100250306","WS500300A",2,2018-02-12,"Open"
"664","3100250362","WS500293A",2,2017-08-18,"Open"
"665","3100250362","WS500293A",0,2017-09-25,"Close"
