id,service_point_sn,meter_sn,meter_type,site,start_date,end_date,duration,min5flow_ave,severity,status,notification_status,potential_savings
265,3005448539,WS500304A,SUB,Punggol,25/9/2017,28/9/2017,4,30.67,Severe,Close,new,688
266,3005448643,WS500365A,SUB,Punggol,20/1/2017,24/1/2017,5,6.67,Severe,Close,new,150
267,3090005152B,EP180491B,BYPASS,Punggol,20/1/2017,4/3/2017,44,63,Critical,Close,new,1413
268,3100159491,WS500421A,SUB,Punggol,4/7/2016,8/7/2016,5,1,Severe,Close,new,22
269,3100159491,WS500421A,SUB,Punggol,11/8/2016,14/8/2016,4,1,Moderate,Close,new,22
270,3100159491,WS500421A,SUB,Punggol,19/8/2016,27/8/2016,9,1,Severe,Close,new,22
271,3100159491,WS500421A,SUB,Punggol,5/9/2016,9/9/2016,5,1.33,Severe,Close,new,30
272,3100159491,WS500421A,SUB,Punggol,13/9/2016,28/9/2016,16,1,Severe,Close,new,22
273,3100159491,WS500421A,SUB,Punggol,9/11/2016,12/11/2016,4,1,Moderate,Close,new,22
274,3100159491,WS500421A,SUB,Punggol,29/12/2016,18/1/2017,21,1,Severe,Close,new,22
275,3100159491,WS500421A,SUB,Punggol,7/2/2017,28/2/2017,22,1,Severe,Close,new,22
276,3100159491,WS500421A,SUB,Punggol,20/3/2017,23/3/2017,4,1,Moderate,Close,new,22
277,3100159491,WS500421A,SUB,Punggol,27/3/2017,1/4/2017,6,1,Severe,Close,new,22
278,3100159491,WS500421A,SUB,Punggol,19/4/2017,28/4/2017,10,1,Severe,Close,new,22
279,3100159491,WS500421A,SUB,Punggol,26/6/2017,1/7/2017,6,1,Severe,Close,new,22
280,3100159491,WS500421A,SUB,Punggol,13/7/2017,1/8/2017,20,1,Severe,Close,new,22
281,3100159491,WS500421A,SUB,Punggol,17/10/2017,21/10/2017,5,1,Severe,Close,new,22
282,3100159495,WS500429A,SUB,Punggol,23/3/2016,10/4/2016,19,3.67,Severe,Close,new,82
283,3100159495,WS500429A,SUB,Punggol,29/4/2016,6/5/2016,8,9.33,Severe,Close,new,209
284,3100159495,WS500429A,SUB,Punggol,20/5/2016,30/5/2016,11,14.67,Critical,Close,new,329
285,3100159495,WS500429A,SUB,Punggol,3/6/2016,6/6/2016,4,15.33,Severe,Close,new,344
286,3100159495,WS500429A,SUB,Punggol,10/6/2016,21/6/2016,12,15.33,Critical,Close,new,344
287,3100159495,WS500429A,SUB,Punggol,12/9/2016,15/9/2016,4,7,Moderate,Close,new,157
288,3100159495,WS500429A,SUB,Punggol,12/9/2017,27/9/2017,16,6,Severe,Close,new,135
289,3100159623,WS500423A,SUB,Punggol,15/9/2016,22/9/2016,8,39.67,Critical,Close,new,890
290,3100159643,WS500463A,SUB,Punggol,5/12/2016,8/12/2016,4,4.67,Moderate,Close,new,105
291,3100159643,WS500463A,SUB,Punggol,1/1/2017,8/1/2017,8,2.33,Severe,Close,new,52
292,3100159679,WS500400A,SUB,Punggol,17/3/2016,11/4/2016,26,2,Severe,Close,new,45
293,3100159679,WS500400A,SUB,Punggol,18/5/2016,23/5/2016,6,1.67,Severe,Close,new,37
294,3100159759,WS500425A,SUB,Punggol,14/3/2016,22/4/2016,40,5.33,Severe,Close,new,120
295,3100159807,WS500521A,SUB,Punggol,6/11/2017,10/11/2017,5,2.33,Severe,Close,new,52
296,3100159807,WS500521A,SUB,Punggol,17/11/2017,NA,13,6,Severe,Open,new,135
297,3100159823,WS500418A,SUB,Punggol,13/5/2017,24/5/2017,12,1,Severe,Close,new,22
298,3100159851,WS500474A,SUB,Punggol,13/3/2016,19/3/2016,7,8.67,Severe,Close,new,194
299,3100159851,WS500474A,SUB,Punggol,2/7/2017,6/7/2017,5,1,Severe,Close,new,22
300,3100159955,WS500412A,SUB,Punggol,26/4/2016,10/5/2016,15,2,Severe,Close,new,45
301,3100159959,WS500420A,SUB,Punggol,14/3/2017,25/3/2017,12,2.67,Severe,Close,new,60
302,3100159959,WS500420A,SUB,Punggol,29/3/2017,13/4/2017,16,1,Severe,Close,new,22
303,3100159967,WS500436A,SUB,Punggol,26/9/2016,30/9/2016,5,1,Severe,Close,new,22
304,3100249914,WS500230A,SUB,Punggol,12/4/2017,16/4/2017,5,2,Severe,Close,new,45
305,3100249914,WS500230A,SUB,Punggol,24/4/2017,4/5/2017,11,2,Severe,Close,new,45
306,3100249914,WS500230A,SUB,Punggol,15/5/2017,20/5/2017,6,2,Severe,Close,new,45
307,3100249914,WS500230A,SUB,Punggol,23/5/2017,2/7/2017,41,1.33,Severe,Close,new,30
308,3100249938,WS500278A,SUB,Punggol,13/7/2016,20/7/2016,8,3.33,Severe,Close,new,75
309,3100249958,WS500199A,SUB,Punggol,2/12/2016,7/12/2016,6,102.67,Critical,Close,new,2302
310,3100249978,WS500239A,SUB,Punggol,5/5/2016,20/5/2016,16,1,Severe,Close,new,22
311,3100249978,WS500239A,SUB,Punggol,28/5/2016,7/6/2016,11,4,Severe,Close,new,90
312,3100249978,WS500239A,SUB,Punggol,13/11/2017,16/11/2017,4,14,Severe,Close,new,314
313,3100250118,WS500281A,SUB,Punggol,15/8/2017,2/9/2017,19,1,Severe,Close,new,22
314,3100250142,WS500210A,SUB,Punggol,23/8/2016,1/9/2016,10,1,Severe,Close,new,22
315,3100250306,WS500300A,SUB,Punggol,27/3/2017,30/3/2017,4,1,Moderate,Close,new,22
